timestamp,ms,dist_cm,adc_raw,voltage
,0,25.9,,
,500,28.5,,
,1000,28.2,,
,1500,-2.0,,
,2000,-1.0,,
,2500,6.1,,
,3000,-1.0,,
,3500,-1.0,,
,4000,-1.0,,
,4500,-1.0,,
,5000,-1.0,,
,5500,-1.0,,
,6000,16.2,,
,6500,14.8,,
,7000,7.1,,
,7500,-2.0,,
,8000,-1.0,,
,8500,-2.0,,
,9000,-2.0,,
,9500,-2.0,,
,10000,-2.0,,
,10500,-2.0,,
,11000,-1.0,,
,11500,-1.0,,
,12000,-1.0,,
,12500,-1.0,,
,13000,-1.0,,
,13500,-1.0,,
,14000,-1.0,,
,14500,-1.0,,
,15000,-1.0,,
,15500,-1.0,,
,16000,-1.0,,
,16500,-2.0,,
,17000,-2.0,,
,17500,10.6,,
,18000,7.8,,
,18500,-1.0,,
,19000,-1.0,,
,19500,-1.0,,
,20000,-1.0,,
,20500,16.2,,
,21000,9.1,,
,21500,6.5,,
,22000,7.1,,
,22500,-1.0,,
,23000,-1.0,,
,23500,37.2,,
,24000,-1.0,,
